dataset,alpha,f1,fpr
BGL,0.0,0.6349,0.1544
BGL,0.05,0.6338,0.1605
BGL,0.1,0.6417,0.1624
BGL,0.15,0.6408,0.1603
BGL,0.2,0.6413,0.1556
BGL,0.25,0.7265,0.1511
BGL,0.3,0.719,0.159
BGL,0.35,0.7215,0.1548
BGL,0.4,0.7646,0.1108
BGL,0.45,0.766,0.1084
BGL,0.5,0.7693,0.1049
BGL,0.55,0.7762,0.0984
BGL,0.6,0.777,0.0975
BGL,0.65,0.777,0.0975
BGL,0.7,0.777,0.0975
BGL,0.75,0.777,0.0975
BGL,0.8,0.777,0.0975
BGL,0.85,0.777,0.0975
BGL,0.9,0.777,0.0975
BGL,0.95,0.777,0.0975
BGL,1.0,0.777,0.0975
HDFS,0.0,0.2337,0.1311
HDFS,0.05,0.2509,0.1172
HDFS,0.1,0.2785,0.0996
HDFS,0.15,0.2983,0.0878
HDFS,0.2,0.3156,0.0782
HDFS,0.25,0.3425,0.0604
HDFS,0.3,0.4155,0.0359
HDFS,0.35,0.4629,0.0231
HDFS,0.4,0.5281,0.0106
HDFS,0.45,0.3162,0.0076
HDFS,0.5,0.3274,0.0004
HDFS,0.55,0.3274,0.0001
HDFS,0.6,0.3274,0.0001
HDFS,0.65,0.3274,0.0001
HDFS,0.7,0.3274,0.0001
HDFS,0.75,0.3274,0.0001
HDFS,0.8,0.3274,0.0001
HDFS,0.85,0.3274,0.0001
HDFS,0.9,0.3274,0.0001
HDFS,0.95,0.3274,0.0001
HDFS,1.0,0.3274,0.0001
OpenSSH,0.0,0.9669235853987722,0.0001638140911192117
OpenSSH,0.05,0.9602000794687976,0.0005445082677348061
OpenSSH,0.1,0.9691522559790323,0.0002690941035862395
OpenSSH,0.15,0.9701028235819561,0.00021433443556737852
OpenSSH,0.2,0.9556448240567309,0.00022957328990235405
OpenSSH,0.25,0.9588891024656885,0.00040646183711066973
OpenSSH,0.3,0.9660392020158365,0.00037308881287281565
OpenSSH,0.35,0.9638187870382822,0.00038254652231919765
OpenSSH,0.4,0.9653159942124786,0.0003861642006015765
OpenSSH,0.45,0.9611347803621322,0.0007283295201740922
OpenSSH,0.5,0.9697969898743142,0.00021871699672307686
OpenSSH,0.55,0.9654,0.0001975514541856925
OpenSSH,0.6,0.9657301534878061,0.00013724545435042442
OpenSSH,0.65,0.9710362060348402,0.0004231958845150991
OpenSSH,0.7,0.9677375467112602,0.0005257944585441783
OpenSSH,0.75,0.9611035376855839,0.000277210508469025
OpenSSH,0.8,0.9672437539204125,0.00013196870460749436
OpenSSH,0.85,0.9606055869958551,0.00013510375686175206
OpenSSH,0.9,0.9697922515065364,0.0004301185575649402
OpenSSH,0.95,0.9651503704450688,0.00044865083424068845
OpenSSH,1.0,0.9644756881822737,0.000408630853661039
Thunderbird,0.0,0.45924490292711306,0.3689311116567964
Thunderbird,0.05,0.4682216132306672,0.3695561328989643
Thunderbird,0.1,0.46706685809140724,0.3699667361759996
Thunderbird,0.15,0.4680868859672901,0.3642563746387578
Thunderbird,0.2,0.4746142877794819,0.36368824103667713
Thunderbird,0.25,0.4681359554877468,0.37028987940628577
Thunderbird,0.3,0.4726891356307189,0.3650434783755919
Thunderbird,0.35,0.4665757906948889,0.3596215683833104
Thunderbird,0.4,0.46879119398689983,0.3603335639299826
Thunderbird,0.45,0.47221288225838537,0.36140273856999194
Thunderbird,0.5,0.4513284418014433,0.3684858037202688
Thunderbird,0.55,0.46270328783642695,0.3667121286803528
Thunderbird,0.6,0.46119627345707204,0.36945242677033885
Thunderbird,0.65,0.45951122151756657,0.36386373676831735
Thunderbird,0.7,0.46314857748773314,0.36679269845538354
Thunderbird,0.75,0.4808494131123439,0.36912795196983667
Thunderbird,0.8,0.45724168884306754,0.3644532673013988
Thunderbird,0.85,0.47558278354591477,0.3682838761877871
Thunderbird,0.9,0.44907130228384196,0.3626903702946667
Thunderbird,0.95,0.4625511497001422,0.3641847307671746
Thunderbird,1.0,0.46752753065105,0.36409131053000837
